Ship Mode,Segment,City,State,Region,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
Second Class,Consumer,Newark,Ohio,East,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802,7,0.3,-11.3372
First Class,Home Office,New York City,New York,East,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,0.2,112.392
First Class,Home Office,New York City,New York,East,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,0.2,46.9764
First Class,Consumer,Denver,Colorado,West,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5,-153.3456
Standard Class,Corporate,Franklin,Tennessee,South,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,9.6712
Standard Class,Corporate,Medina,Ohio,East,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,0.5,-153.3456
First Class,Consumer,Dublin,Ohio,East,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704,4,0.2,19.0848
Standard Class,Corporate,Detroit,Michigan,Central,Tables,Bevis 36 x 72 Conference Tables,622.45,5,0.0,136.939
Standard Class,Consumer,Columbia,Tennessee,South,Chairs,Global Low Back Tilter Chair,161.568,2,0.2,-28.2744
Standard Class,Consumer,Columbia,Tennessee,South,Chairs,"Global Push Button Manager's Chair, Indigo",389.696,8,0.2,43.8408
Standard Class,Home Office,Tampa,Florida,South,Tables,Bush Advantage Collection Round Conference Table,233.86,2,0.45,-102.048
Standard Class,Home Office,Tampa,Florida,South,Tables,Bretford Rectangular Conference Table Tops,620.6145,3,0.45,-153.3456
Standard Class,Home Office,Tampa,Florida,South,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072,3,0.2,0.0
Second Class,Consumer,Chicago,Illinois,Central,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68,5,0.6,-153.3456
Second Class,Consumer,Chicago,Illinois,Central,Furnishings,Staple-based wall hangings,11.688,3,0.6,-4.6752
Second Class,Consumer,Chicago,Illinois,Central,Tables,KI Conference Tables,177.225,5,0.5,-120.513
Second Class,Consumer,Chicago,Illinois,Central,Furnishings,Eldon 100 Class Desk Accessories,10.02,3,0.6,-2.8308
Second Class,Home Office,Lakeville,Minnesota,Central,Chairs,Global Deluxe High-Back Manager's Chair,1317.492,7,0.0,190.4298
Second Class,Consumer,San Francisco,California,West,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568,2,0.2,28.1372
Standard Class,Corporate,Chicago,Illinois,Central,Furnishings,Eldon 100 Class Desk Accessories,12.132,8,0.6,-8.4924
First Class,Consumer,San Francisco,California,West,Furnishings,Regeneration Desk Collection,10.02,3,0.0,2.3232
Standard Class,Consumer,Los Angeles,California,West,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84,5,0.2,51.942
Second Class,Home Office,Columbus,Ohio,East,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",86.97,3,0.5,-48.7032
First Class,Corporate,Colorado Springs,Colorado,West,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",300.416,8,0.2,78.8592
First Class,Corporate,Colorado Springs,Colorado,West,Chairs,Global Deluxe Office Fabric Chairs,230.352,3,0.2,20.1558
First Class,Corporate,Colorado Springs,Colorado,West,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,218.352,3,0.2,-24.5646
Standard Class,Corporate,Belleville,New Jersey,East,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6,4,0.0,38.024
Standard Class,Consumer,Chicago,Illinois,Central,Tables,BPI Conference Tables,219.075,3,0.5,-131.445
Second Class,Corporate,New York City,New York,East,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,26.8,2,0.0,12.864
Second Class,Corporate,Arvada,Colorado,West,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.136,4,0.2,3.5948
Second Class,Corporate,Arvada,Colorado,West,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,466.768,2,0.2,52.5114
Second Class,Corporate,Arvada,Colorado,West,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",15.232,1,0.2,1.7136
Standard Class,Corporate,Hackensack,New Jersey,East,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",87.54,3,0.0,37.6422
Standard Class,Home Office,New York City,New York,East,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,135.882,1,0.1,24.1568
Second Class,Corporate,Murfreesboro,Tennessee,South,Furnishings,Telescoping Adjustable Floor Lamp,15.992,1,0.2,0.9995
First Class,Consumer,Philadelphia,Pennsylvania,East,Chairs,Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs,786.744,4,0.3,-153.3456
Standard Class,Corporate,San Francisco,California,West,Tables,Hon 5100 Series Wood Tables,698.352,3,0.2,-17.4588
Standard Class,Consumer,New York City,New York,East,Bookcases,Sauder Barrister Bookcases,388.704,6,0.2,-4.8588
Standard Class,Consumer,New York City,New York,East,Chairs,Global Ergonomic Managers Chair,488.646,3,0.1,86.8704
Standard Class,Consumer,New York City,New York,East,Furnishings,Eldon Wave Desk Accessories,47.12,8,0.0,20.7328
Same Day,Corporate,Manchester,Connecticut,East,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1043.92,4,0.0,190.4298
Standard Class,Corporate,Franklin,Massachusetts,East,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1317.492,7,0.3,-153.3456
Standard Class,Consumer,Pembroke Pines,Florida,South,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",375.4575,3,0.45,-153.3456
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Furnishings,3M Hangers With Command Adhesive,10.02,1,0.2,0.777
Second Class,Consumer,Houston,Texas,Central,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1317.492,4,0.32,-153.3456
Standard Class,Consumer,San Francisco,California,West,Tables,"Bevis Round Conference Table Top, X-Base",1004.024,7,0.2,-112.9527
Standard Class,Consumer,San Francisco,California,West,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1317.492,8,0.15,31.4548
Standard Class,Consumer,San Francisco,California,West,Chairs,Novimex High-Tech Fabric Mesh Task Chair,113.568,2,0.2,-18.4548
Standard Class,Corporate,Seattle,Washington,West,Chairs,Global Deluxe Office Fabric Chairs,307.136,4,0.2,26.8744
Standard Class,Consumer,Los Angeles,California,West,Chairs,Bevis Steel Folding Chairs,383.8,5,0.2,38.38
Standard Class,Corporate,Lawrence,Massachusetts,East,Furnishings,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",56.56,4,0.0,14.7056
Second Class,Consumer,Jackson,Mississippi,South,Chairs,Hon Multipurpose Stacking Arm Chairs,866.4,4,0.0,190.4298
Second Class,Corporate,Canton,Michigan,Central,Furnishings,Coloredge Poster Frame,28.4,2,0.0,11.076
Second Class,Corporate,New York City,New York,East,Chairs,Global Deluxe Steno Chair,207.846,3,0.1,2.3094
Second Class,Consumer,Detroit,Michigan,Central,Furnishings,Aluminum Document Frame,12.22,1,0.0,3.666
Second Class,Consumer,Detroit,Michigan,Central,Chairs,Office Star - Ergonomically Designed Knee Chair,242.94,3,0.0,29.1528
Second Class,Consumer,Columbus,Indiana,Central,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",10.02,1,0.0,1.3677
Standard Class,Corporate,Akron,Ohio,East,Tables,Chromcraft Rectangular Conference Tables,284.364,2,0.4,-75.8304
Standard Class,Consumer,Concord,California,West,Chairs,"Global Geo Office Task Chair, Gray",129.568,2,0.2,-24.294
Standard Class,Consumer,Decatur,Illinois,Central,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,747.558,3,0.3,-96.1146
Standard Class,Home Office,Phoenix,Arizona,West,Furnishings,Eldon Wave Desk Accessories,23.56,5,0.2,7.068
Standard Class,Home Office,Phoenix,Arizona,West,Tables,Bush Advantage Collection Racetrack Conference Table,1272.63,6,0.5,-153.3456
Standard Class,Home Office,Park Ridge,Illinois,Central,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,254.744,7,0.6,-153.3456
Standard Class,Corporate,Amarillo,Texas,Central,Bookcases,Bush Mission Pointe Library,205.3328,2,0.32,-36.2352
Second Class,Consumer,San Francisco,California,West,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",222.666,2,0.15,10.4784
Standard Class,Consumer,Troy,New York,East,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,40.2,3,0.0,19.296
First Class,Home Office,Los Angeles,California,West,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,514.165,5,0.15,-30.245
Second Class,Consumer,Memphis,Tennessee,South,Tables,Balt Solid Wood Rectangular Table,189.882,3,0.4,-94.941
Standard Class,Consumer,Costa Mesa,California,West,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",255.76,4,0.0,81.8432
Standard Class,Consumer,Costa Mesa,California,West,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,241.568,2,0.2,18.1176
Standard Class,Consumer,Costa Mesa,California,West,Furnishings,Deflect-O Glasstique Clear Desk Accessories,69.3,8,0.0,22.869
Standard Class,Corporate,Parker,Colorado,West,Chairs,Global Troy Executive Leather Low-Back Tilter,801.568,2,0.2,50.098
First Class,Consumer,Gladstone,Missouri,Central,Furnishings,Executive Impressions Supervisor Wall Clock,126.3,3,0.0,40.416
First Class,Corporate,Detroit,Michigan,Central,Tables,Balt Solid Wood Rectangular Table,210.98,2,0.0,21.098
Standard Class,Home Office,Lakeland,Florida,South,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,683.952,3,0.2,42.747
Standard Class,Home Office,Lakeland,Florida,South,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",45.696,3,0.2,5.1408
Second Class,Corporate,Los Angeles,California,West,Chairs,Safco Contoured Stacking Chairs,190.72,1,0.2,11.92
Standard Class,Consumer,Los Angeles,California,West,Furnishings,Tenex Chairmats For Use With Carpeted Floors,47.94,3,0.0,2.397
Standard Class,Consumer,Henderson,Kentucky,South,Chairs,"Situations Contoured Folding Chairs, 4/Set",283.92,4,0.0,70.98
Standard Class,Consumer,Fort Worth,Texas,Central,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",66.112,4,0.6,-84.2928
Second Class,Consumer,San Francisco,California,West,Chairs,HON 5400 Series Task Chairs for Big and Tall,1121.568,2,0.2,0.0
First Class,Consumer,Jacksonville,Florida,South,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",34.504,1,0.2,6.0382
Standard Class,Consumer,Los Angeles,California,West,Tables,Bretford ÒJust In TimeÓ Height-Adjustable Multi-Task Work Tables,1317.492,4,0.2,-153.3456
Second Class,Consumer,San Francisco,California,West,Furnishings,Coloredge Poster Frame,42.6,3,0.0,16.614
Second Class,Consumer,Tampa,Florida,South,Furnishings,Advantus Panel Wall Acrylic Frame,13.128,3,0.2,3.7743
Standard Class,Corporate,Seattle,Washington,West,Chairs,Hon Every-Day Series Multi-Task Chairs,451.152,3,0.2,0.0
Standard Class,Consumer,Chicago,Illinois,Central,Furnishings,"Contract Clock, 14"", Brown",10.02,1,0.6,-5.7148
Standard Class,Consumer,Richmond,Kentucky,South,Chairs,Novimex High-Tech Fabric Mesh Task Chair,70.98,1,0.0,4.9686
Standard Class,Consumer,San Diego,California,West,Furnishings,Dana Halogen Swing-Arm Architect Lamp,327.76,8,0.0,91.7728
Standard Class,Consumer,Tampa,Florida,South,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",45.696,3,0.2,5.1408
Second Class,Corporate,New York City,New York,East,Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge",40.48,2,0.0,15.7872
Second Class,Corporate,New York City,New York,East,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",10.02,2,0.0,3.0814
Second Class,Corporate,New York City,New York,East,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",88.02,3,0.0,27.2862
Standard Class,Corporate,Dearborn,Michigan,Central,Chairs,"Global Manager's Adjustable Task Chair, Storm",301.96,2,0.0,87.5684
Standard Class,Home Office,New York City,New York,East,Furnishings,"Master Caster Door Stop, Brown",35.56,7,0.0,12.0904
Second Class,Corporate,Warner Robins,Georgia,South,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,392.94,3,0.0,43.2234
Standard Class,Home Office,Vallejo,California,West,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2,5,0.0,190.4298
Standard Class,Corporate,Minneapolis,Minnesota,Central,Furnishings,Eldon 200 Class Desk Accessories,18.84,3,0.0,6.0288
Second Class,Corporate,Vancouver,Washington,West,Furnishings,3M Hangers With Command Adhesive,14.8,4,0.0,6.068
Same Day,Home Office,Aurora,Illinois,Central,Chairs,Global Troy Executive Leather Low-Back Tilter,701.372,2,0.3,-50.098
Standard Class,Consumer,Arlington,Texas,Central,Tables,Hon Racetrack Conference Tables,918.785,5,0.3,-118.1295
First Class,Consumer,Cleveland,Ohio,East,Furnishings,"Master Giant Foot Doorstop, Safety Yellow",30.36,5,0.2,8.7285
Standard Class,Home Office,Chicago,Illinois,Central,Furnishings,12-1/2 Diameter Round Wall Clock,23.976,3,0.6,-14.3856
Standard Class,Home Office,Chicago,Illinois,Central,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",108.925,1,0.5,-71.8905
Standard Class,Consumer,Tyler,Texas,Central,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",82.524,3,0.6,-41.262
Standard Class,Consumer,New York City,New York,East,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",191.984,2,0.2,4.7996
Second Class,Consumer,Waynesboro,Virginia,South,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,104.01,1,0.0,14.5614
Standard Class,Corporate,Cleveland,Ohio,East,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",15.072,3,0.2,4.1448
Second Class,Corporate,Seattle,Washington,West,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",209.88,3,0.0,35.6796
Standard Class,Consumer,Long Beach,California,West,Tables,Laminate Occasional Tables,369.912,3,0.2,-13.8717
First Class,Consumer,New York City,New York,East,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,883.92,5,0.2,-110.49
First Class,Consumer,Dover,Delaware,East,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",10.02,2,0.0,3.0814
Standard Class,Consumer,Newark,Ohio,East,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",103.056,3,0.2,24.4758
Standard Class,Home Office,Orem,Utah,West,Furnishings,Aluminum Document Frame,73.32,6,0.0,21.996
Standard Class,Corporate,Detroit,Michigan,Central,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1317.492,3,0.0,190.4298
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furnishings,"Seth Thomas 16"" Steel Case Clock",129.92,5,0.2,21.112
First Class,Consumer,Oceanside,New York,East,Tables,"Bevis Traditional Conference Table Top, Plinth Base",400.032,2,0.4,-153.3456
First Class,Consumer,Oceanside,New York,East,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",542.646,3,0.1,102.4998
Standard Class,Home Office,Seattle,Washington,West,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,84.98,1,0.0,18.6956
Same Day,Corporate,San Diego,California,West,Tables,KI Conference Tables,567.12,8,0.2,-28.356
Standard Class,Consumer,Trenton,Michigan,Central,Furnishings,Nu-Dell Leatherette Frames,157.74,8,0.0,56.7864
Standard Class,Consumer,Los Angeles,California,West,Furnishings,12-1/2 Diameter Round Wall Clock,79.92,4,0.0,28.7712
Standard Class,Corporate,Jacksonville,Florida,South,Tables,Chromcraft Round Conference Tables,383.438,4,0.45,-153.3456
Standard Class,Corporate,Saint Petersburg,Florida,South,Furnishings,Electrix Halogen Magnifier Lamp,310.88,2,0.2,23.316
Standard Class,Consumer,Arlington,Virginia,South,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,641.96,2,0.0,179.7488
Standard Class,Corporate,Des Moines,Iowa,Central,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",34.58,7,0.0,14.5236
First Class,Home Office,San Francisco,California,West,Chairs,Hon GuestStacker Chair,544.008,3,0.2,40.8006
Second Class,Consumer,Columbus,Ohio,East,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",35.49,1,0.5,-15.6156
Standard Class,Consumer,Lancaster,California,West,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",348.928,2,0.2,34.8928
Standard Class,Consumer,Richmond,Virginia,South,Chairs,Office Star - Contemporary Task Swivel Chair,332.94,3,0.0,79.9056
Standard Class,Consumer,Lake Elsinore,California,West,Chairs,"Situations Contoured Folding Chairs, 4/Set",283.92,5,0.2,17.745
First Class,Corporate,San Diego,California,West,Furnishings,"Executive Impressions 14"" Contract Wall Clock",22.23,1,0.0,7.3359
First Class,Consumer,San Francisco,California,West,Furnishings,"Eldon Stackable Tray, Side-Load, Legal, Smoke",18.28,2,0.0,6.2152
First Class,Consumer,Omaha,Nebraska,Central,Furnishings,Coloredge Poster Frame,28.4,2,0.0,11.076
First Class,Consumer,Edmonds,Washington,West,Tables,"Bevis Round Bullnose 29"" High Table Top",1298.55,5,0.0,190.4298
Same Day,Consumer,Santa Ana,California,West,Furnishings,"Eldon Stackable Tray, Side-Load, Legal, Smoke",18.28,2,0.0,6.2152
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Chairs,Global Leather Executive Chair,1228.465,5,0.3,0.0
Second Class,Consumer,Florence,Kentucky,South,Chairs,"Global Airflow Leather Mesh Back Chair, Black",301.96,2,0.0,90.588
Standard Class,Corporate,New York City,New York,East,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,186.048,4,0.2,9.3024
Standard Class,Consumer,Louisville,Kentucky,South,Chairs,Global Deluxe Office Fabric Chairs,287.94,3,0.0,77.7438
Standard Class,Consumer,Lorain,Ohio,East,Furnishings,"Linden 10"" Round Wall Clock, Black",48.896,4,0.2,8.5568
Standard Class,Consumer,New York City,New York,East,Furnishings,"Executive Impressions 14"" Contract Wall Clock",44.46,2,0.0,14.6718
Standard Class,Corporate,Springfield,Virginia,South,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,0.0,21.2954
Standard Class,Home Office,Concord,New Hampshire,East,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",322.59,3,0.0,64.518
Second Class,Home Office,New York City,New York,East,Chairs,SAFCO Arco Folding Chair,1242.9,5,0.1,190.4298
First Class,Home Office,Detroit,Michigan,Central,Furnishings,Eldon 200 Class Desk Accessories,31.4,5,0.0,10.048
Standard Class,Consumer,Rochester,New York,East,Furnishings,Dax Clear Box Frame,17.46,2,0.0,5.9364
Standard Class,Consumer,New York City,New York,East,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",323.136,4,0.2,12.1176
Standard Class,Home Office,Norwich,Connecticut,East,Furnishings,3M Hangers With Command Adhesive,22.2,6,0.0,9.102
First Class,Corporate,Milwaukee,Wisconsin,Central,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",46.94,1,0.0,19.2454
Standard Class,Corporate,San Antonio,Texas,Central,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",99.918,2,0.3,-18.5562
Standard Class,Corporate,San Antonio,Texas,Central,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,797.944,4,0.3,-56.996
Standard Class,Corporate,Torrance,California,West,Tables,Bretford CR4500 Series Slim Rectangular Table,1114.272,4,0.2,41.7852
First Class,Consumer,Mesa,Arizona,West,Tables,Bevis Boat-Shaped Conference Table,393.165,3,0.5,-153.3456
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",516.488,7,0.2,-12.9122
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1007.232,6,0.2,75.5424
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",1317.492,8,0.4,-153.3456
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furnishings,Staple-based wall hangings,25.472,4,0.2,7.6416
Standard Class,Consumer,Round Rock,Texas,Central,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",78.8528,2,0.32,-11.596
Same Day,Consumer,Oceanside,California,West,Furnishings,Luxo Professional Combination Clamp-On Lamps,204.6,2,0.0,53.196
Standard Class,Corporate,San Francisco,California,West,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568,2,0.2,28.1372
Second Class,Consumer,Philadelphia,Pennsylvania,East,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.104,6,0.2,28.5984
Standard Class,Consumer,New York City,New York,East,Chairs,Office Star - Contemporary Task Swivel Chair,599.292,6,0.1,93.2232
Second Class,Consumer,Louisville,Colorado,West,Chairs,"Global Airflow Leather Mesh Back Chair, Black",603.92,5,0.2,75.49
Standard Class,Corporate,Auburn,New York,East,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,520.05,5,0.0,72.807
Second Class,Home Office,Jacksonville,Florida,South,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,1166.92,5,0.2,131.2785
Standard Class,Consumer,Henderson,Kentucky,South,Furnishings,Magna Visual Magnetic Picture Hangers,24.1,5,0.0,9.158
Standard Class,Consumer,Henderson,Kentucky,South,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,33.11,7,0.0,12.9129
Same Day,Consumer,New York City,New York,East,Tables,"Bevis Round Bullnose 29"" High Table Top",1090.782,7,0.4,-153.3456
